N1,Z1,N2,Z2,E_ini(MeV),v_ini(c),status,num,E_diss(MeV),integral_Rdot^2(fm*c),fric_ave(MeV/(fm*c))
77,49,77,49,4.0,0.18470283861584405,fission,2,768.0881372769383,3.0545122104919944,251.4601626533427
77,49,77,49,5.0,0.20650405139110023,fission,2,949.9840664818141,3.8221079631214416,248.54977296506834
77,49,77,49,6.0,0.22621385432622335,fission,2,1085.397433287643,4.561069895218819,237.96991894937202
77,49,77,49,7.0,0.24433888871261045,fission,2,1213.563366225159,5.282982089527709,229.71180777439466
77,49,77,49,8.0,0.2612092593793357,fission,2,1342.7606905493465,5.974312348693806,224.75568938790437
77,49,77,49,9.0,0.2770542579237661,fission,2,1461.2875749969953,6.544897084187093,223.27128390262445
77,49,77,49,10.0,0.29204083016228455,fission,2,1531.566231434836,7.137451853957638,214.58165501818402
78,49,78,49,1.0,0.09235141930792203,fusion,1,not calculated
78,49,78,49,2.0,0.13060462968966785,fusion,1,not calculated
78,49,78,49,3.0,0.15995735039241835,fission,2,558.7876451006593,2.2575092168171373,247.52397063897448
78,49,78,49,4.0,0.18470283861584405,fission,2,776.065635950147,3.0654503737103984,253.1652910142541
78,49,78,49,5.0,0.20650405139110023,fission,2,957.0390108815302,3.8399206019113477,249.23406239315398
78,49,78,49,6.0,0.22621385432622335,fission,2,1097.4875979915855,4.563337335323864,240.5010888623459
78,49,78,49,7.0,0.24433888871261045,fission,2,1234.459241537298,5.274083772044336,234.06136400044286
78,49,78,49,8.0,0.2612092593793357,fission,2,1373.5371999591962,5.957066498859645,230.57274922516493
